URL,发布日期,发布者,发布说明长度,发布说明预览,序号,总下载量,版本号,版本名称,草稿,获取时间,资产数量,页码,预发布
https://github.com/microsoft/vscode/releases/tag/1.105.0,2025-10-09T17:18:07Z,mjbvz,1372,Welcome to the September 2025 release of Visual Studio Code. There are many updates in this version that we hope you'll ...,11,0,1.105.0,September 2025,False,2026-01-26T20:08:06.184457,0,1,False
https://github.com/microsoft/vscode/releases/tag/1.104.3,2025-10-02T17:21:08Z,sandy081,147,The update addresses these [issues](https://github.com/microsoft/vscode/issues?q=is%3Aissue+is%3Aclosed+milestone%3A%22A...,12,0,1.104.3,August 2025 Recovery 3,False,2026-01-26T20:08:06.184457,0,1,False
https://github.com/microsoft/vscode/releases/tag/1.104.2,2025-09-26T08:27:52Z,sandy081,147,The update addresses these [issues](https://github.com/microsoft/vscode/issues?q=is%3Aissue+is%3Aclosed+milestone%3A%22A...,13,0,1.104.2,August 2025 Recovery 2,False,2026-01-26T20:08:06.184457,0,1,False
https://github.com/microsoft/vscode/releases/tag/1.104.1,2025-09-18T01:38:06Z,sandy081,147,The update addresses these [issues](https://github.com/microsoft/vscode/issues?q=is%3Aissue+is%3Aclosed+milestone%3A%22A...,14,0,1.104.1,August 2025 Recovery 1,False,2026-01-26T20:08:06.184457,0,1,False
https://github.com/microsoft/vscode/releases/tag/1.104.0,2025-09-11T13:37:43Z,sandy081,1284,Welcome to the August 2025 release of Visual Studio Code. There are many updates in this version that we hope you'll lik...,15,0,1.104.0,August 2025,False,2026-01-26T20:08:06.184457,0,1,False
https://github.com/microsoft/vscode/releases/tag/1.103.2,2025-08-21T19:02:49Z,osortega,145,The update addresses these [issues](https://github.com/microsoft/vscode/issues?q=is%3Aissue+is%3Aclosed+milestone%3A%22J...,16,0,1.103.2,July 2025 Recovery 2,False,2026-01-26T20:08:06.184457,0,1,False
https://github.com/microsoft/vscode/releases/tag/1.103.1,2025-08-13T18:50:02Z,osortega,256,"The update adds [GPT-5 prompt improvements](#gpt-5-availability), support for [GPT-5 mini](#gpt-5-mini-availability), an...",17,0,1.103.1,July 2025 Recovery 1,False,2026-01-26T20:08:06.184457,0,1,False
https://github.com/microsoft/vscode/releases/tag/1.103.0,2025-08-07T17:46:54Z,osortega,1260,"---

Welcome to the July 2025 release of Visual Studio Code. There are many updates in this version that we hope you'l...",18,0,1.103.0,July 2025,False,2026-01-26T20:08:06.184457,0,1,False
https://github.com/microsoft/vscode/releases/tag/1.102.3,2025-07-29T16:28:12Z,alexr00,300,The update addresses these [issues](https://github.com/Microsoft/vscode/issues?q=is%3Aissue+milestone%3A%22June+2025+Rec...,19,0,1.102.3,June 2025 Recovery 3,False,2026-01-26T20:08:06.184457,0,1,False
https://github.com/microsoft/vscode/releases/tag/1.102.2,2025-07-23T17:03:11Z,alexr00,300,The update addresses these [issues](https://github.com/Microsoft/vscode/issues?q=is%3Aissue+milestone%3A%22June+2025+Rec...,20,0,1.102.2,June 2025 Recovery 2,False,2026-01-26T20:08:06.184457,0,1,False
https://github.com/microsoft/vscode/releases/tag/1.102.1,2025-07-16T14:35:14Z,alexr00,300,The update addresses these [issues](https://github.com/Microsoft/vscode/issues?q=is%3Aissue+milestone%3A%22June+2025+Rec...,21,0,1.102.1,June 2025 Recovery 1,False,2026-01-26T20:08:06.184457,0,1,False
https://github.com/microsoft/vscode/releases/tag/1.102.0,2025-07-10T18:23:53Z,joshspicer,2172,"Welcome to the June 2025 release of Visual Studio Code. There are many updates in this version that we hope you'll like,...",22,0,1.102.0,June 2025,False,2026-01-26T20:08:06.184457,0,1,False
https://github.com/microsoft/vscode/releases/tag/1.101.2,2025-06-25T17:50:22Z,joshspicer,316,The update addresses these [issues](https://github.com/issues?q=org%3Amicrosoft%20is%3Aissue%20milestone%3A%22May%202025...,23,0,1.101.2,May 2025 Recovery 2,False,2026-01-26T20:08:06.184457,0,1,False
https://github.com/microsoft/vscode/releases/tag/1.101.1,2025-06-19T17:08:49Z,joshspicer,300,The update addresses these [issues](https://github.com/microsoft/vscode/issues?q=is%3Aissue+is%3Aclosed+milestone%3A%22M...,24,0,1.101.1,May 2025 Recovery 1,False,2026-01-26T20:08:06.184457,0,1,False
https://github.com/microsoft/vscode/releases/tag/1.101.0,2025-06-12T17:23:31Z,joshspicer,1576,"Welcome to the May 2025 release of Visual Studio Code. There are many updates in this version that we hope you'll like, ...",25,0,1.101.0,May 2025,False,2026-01-26T20:08:06.184457,0,1,False
https://github.com/microsoft/vscode/releases/tag/1.100.3,2025-06-03T16:59:01Z,amunger,347,The update addresses these [issues](https://github.com/Microsoft/vscode/issues?q=is%3Aissue+milestone%3A%22April+2025+Re...,26,0,1.100.3,April 2025 Recovery 3,False,2026-01-26T20:08:06.184457,0,1,False
https://github.com/microsoft/vscode/releases/tag/1.100.2,2025-05-15T17:18:45Z,amunger,347,The update addresses these [issues](https://github.com/Microsoft/vscode/issues?q=is%3Aissue+milestone%3A%22April+2025+Re...,27,0,1.100.2,April 2025 Recovery 2,False,2026-01-26T20:08:06.184457,0,1,False
https://github.com/microsoft/vscode/releases/tag/1.100.1,2025-05-13T17:25:47Z,lszomoru,347,The update addresses these [issues](https://github.com/Microsoft/vscode/issues?q=is%3Aissue+milestone%3A%22April+2025+Re...,28,0,1.100.1,April 2025 Recovery 1,False,2026-01-26T20:08:06.184457,0,1,False
https://github.com/microsoft/vscode/releases/tag/1.100.0,2025-05-08T17:15:28Z,amunger,1596,Welcome to the April 2025 release of Visual Studio Code. There are many updates in this version that we hope you'll like...,29,0,1.100.0,April 2025,False,2026-01-26T20:08:06.184457,0,1,False
https://github.com/microsoft/vscode/releases/tag/1.99.3,2025-04-16T17:33:22Z,amunger,300,The update addresses these [issues](https://github.com/Microsoft/vscode/issues?q=is%3Aissue+milestone%3A%22March+2025+Re...,30,0,1.99.3,March 2025 Recovery 3,False,2026-01-26T20:08:06.184457,0,1,False
https://github.com/microsoft/vscode/releases/tag/1.99.2,2025-04-10T16:46:21Z,amunger,300,The update addresses these [issues](https://github.com/Microsoft/vscode/issues?q=is%3Aissue+milestone%3A%22March+2025+Re...,31,0,1.99.2,March 2025 Recovery 2,False,2026-01-26T20:08:06.184457,0,1,False
https://github.com/microsoft/vscode/releases/tag/1.99.1,2025-04-08T17:09:11Z,amunger,273,"The update has a fix for the security vulnerability in [this issue](https://github.com/microsoft/vscode/issues/246012)....",32,0,1.99.1,March 2025 Recovery 1,False,2026-01-26T20:08:06.184457,0,1,False
https://github.com/microsoft/vscode/releases/tag/1.99.0,2025-04-04T07:18:41Z,amunger,2225,Welcome to the March 2025 release of Visual Studio Code. There are many updates in this version that we hope you'll like...,33,0,1.99.0,March 2025,False,2026-01-26T20:08:06.184457,0,1,False
https://github.com/microsoft/vscode/releases/tag/1.98.2,2025-03-13T16:47:44Z,connor4312,303,The update addresses these [issues](https://github.com/Microsoft/vscode/issues?q=is%3Aissue+milestone%3A%22February+2025...,34,0,1.98.2,February 2025 Recovery 2,False,2026-01-26T20:08:06.184457,0,1,False
https://github.com/microsoft/vscode/releases/tag/1.98.1,2025-03-10T20:15:42Z,connor4312,303,The update addresses these [issues](https://github.com/Microsoft/vscode/issues?q=is%3Aissue+milestone%3A%22February+2025...,35,0,1.98.1,February 2025 Recovery 1,False,2026-01-26T20:08:06.184457,0,1,False
https://github.com/microsoft/vscode/releases/tag/1.98.0,2025-03-05T17:44:15Z,aeschli,2378,Welcome to the February 2025 release of Visual Studio Code. There are many updates in this version that we hope you'll l...,36,0,1.98.0,February 2025,False,2026-01-26T20:08:06.184457,0,1,False
https://github.com/microsoft/vscode/releases/tag/1.97.2,2025-02-13T18:04:51Z,connor4312,302,The update addresses these [issues](https://github.com/Microsoft/vscode/issues?q=is%3Aissue+milestone%3A%22January+2025+...,37,0,1.97.2,January 2025 Recovery 2,False,2026-01-26T20:08:06.184457,0,1,False
https://github.com/microsoft/vscode/releases/tag/1.97.1,2025-02-11T18:09:59Z,connor4312,347,The update addresses these [issues](https://github.com/microsoft/vscode/issues?q=is%3Aissue+milestone%3A%22January+2025+...,38,0,1.97.1,January 2025 Recovery 1,False,2026-01-26T20:08:06.184457,0,1,False
https://github.com/microsoft/vscode/releases/tag/1.97.0,2025-02-06T16:57:06Z,connor4312,2311,Welcome to the January 2025 release of Visual Studio Code. There are many updates in this version that we hope you'll li...,39,0,1.97.0,January 2025,False,2026-01-26T20:08:06.184457,0,1,False
https://github.com/microsoft/vscode/releases/tag/1.96.4,2025-01-16T23:26:14Z,joyceerhl,303,The update addresses these [issues](https://github.com/Microsoft/vscode/issues?q=is%3Aissue+milestone%3A%22November+2024...,40,0,1.96.4,November 2024 Recovery 4,False,2026-01-26T20:08:06.184457,0,1,False
https://github.com/microsoft/vscode/releases/tag/1.96.3,2025-01-13T14:09:12Z,dbaeumer,303,The update addresses these [issues](https://github.com/Microsoft/vscode/issues?q=is%3Aissue+milestone%3A%22November+2024...,41,0,1.96.3,November 2024 Recovery 3,False,2026-01-26T20:08:06.184457,0,1,False
https://github.com/microsoft/vscode/releases/tag/1.96.2,2024-12-19T19:04:30Z,joyceerhl,304,The update addresses these [issues](https://github.com/Microsoft/vscode/issues?q=is%3Aissue+milestone%3A%22November+2024...,42,0,1.96.2,November 2024 Recovery 2,False,2026-01-26T20:08:06.184457,0,1,False
https://github.com/microsoft/vscode/releases/tag/1.96.1,2024-12-18T17:41:53Z,dbaeumer,304,The update addresses these [issues](https://github.com/Microsoft/vscode/issues?q=is%3Aissue+milestone%3A%22November+2024...,43,0,1.96.1,November 2024 Recovery 1,False,2026-01-26T20:08:06.184457,0,1,False
https://github.com/microsoft/vscode/releases/tag/1.96.0,2024-12-11T19:13:33Z,joyceerhl,2021,Welcome to the November 2024 release of Visual Studio Code. There are many updates in this version that we hope you'll l...,44,0,1.96.0,November 2024,False,2026-01-26T20:08:06.184457,0,1,False
https://github.com/microsoft/vscode/releases/tag/1.95.3,2024-11-14T22:20:37Z,joyceerhl,302,The update addresses these [issues](https://github.com/Microsoft/vscode/issues?q=is%3Aissue+milestone%3A%22October+2024+...,45,0,1.95.3,October 2024 Recovery 3,False,2026-01-26T20:08:06.184457,0,1,False
https://github.com/microsoft/vscode/releases/tag/1.95.2,2024-11-07T23:10:05Z,joyceerhl,302,The update addresses these [issues](https://github.com/Microsoft/vscode/issues?q=is%3Aissue+milestone%3A%22October+2024+...,46,0,1.95.2,October 2024 Recovery 2,False,2026-01-26T20:08:06.184457,0,1,False
https://github.com/microsoft/vscode/releases/tag/1.95.1,2024-10-31T22:10:39Z,joyceerhl,302,The update addresses these [issues](https://github.com/Microsoft/vscode/issues?q=is%3Aissue+milestone%3A%22October+2024+...,47,0,1.95.1,October 2024 Recovery 1,False,2026-01-26T20:08:06.184457,0,1,False
https://github.com/microsoft/vscode/releases/tag/1.95.0,2024-10-29T17:15:45Z,rzhao271,1724,Welcome to the October 2024 release of Visual Studio Code. There are many updates in this version that we hope you'll li...,48,0,1.95.0,October 2024,False,2026-01-26T20:08:06.184457,0,1,False
https://github.com/microsoft/vscode/releases/tag/1.94.2,2024-10-10T14:29:41Z,bpasero,319,The update addresses these [issues](https://github.com/Microsoft/vscode/issues?q=is%3Aissue%20milestone%3A%22September%2...,49,0,1.94.2,September Recovery 2,False,2026-01-26T20:08:06.184457,0,1,False
https://github.com/microsoft/vscode/releases/tag/1.94.1,2024-10-08T17:30:36Z,bpasero,350,The update addresses these [issues](https://github.com/Microsoft/vscode/issues?q=is%3Aissue+milestone%3A%22September+202...,50,0,1.94.1,September Recovery 1,False,2026-01-26T20:08:06.184457,0,1,False
